Adwords_Id,Title,Keyword_Id,Last_Seen,CPC_Id,Traffic_Id,Position_Id
41,PMP® Exam & Certification | Special Offer: Get $400 Off,1,2025-01-10,1,1,1
42,PMP® Certification Course | Ace PMP Exam in 1st Attempt,1,2025-01-17,1,1,1
43,Simplilearn® Official Site | Online Courses,10,2024-12-31,10,10,10
44,PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,1,2025-01-15,1,1,1
45,PMP® Exam & Certification | Flat 40% Off - Enroll Now,1,2025-01-22,1,1,1
46,Simplilearn® Courses - Online Certification Courses,11,2025-01-17,11,11,11
47,TOGAF® Architect Certification | Enroll in TOGAF® Course Now,9,2025-01-20,9,9,9
48,PMP® Certification - Flat 40% Off - Enroll Now,1,2024-12-27,1,1,1
49,ITIL® 4 Certification Course | Accredited Course Curriculum,8,2025-01-25,8,8,8
50,Simplilearn Online Bootcamps | Online Certification Courses,10,2025-01-09,10,10,10
51,SAFe® Agilist Certification | Special Offer: Get $250 Off,5,2025-01-10,5,5,5
52,Simplilearn® Courses - Online Certification Courses,11,2025-01-06,11,11,11
53,TOGAF® Architect Certification | Enroll in TOGAF® Course Now,9,2024-12-28,9,9,9
54,AWS Certification Course,11,2025-01-24,11,11,11
55,PMP® Exam & Certification | Confidently Ace The PMP Exam,1,2025-01-01,1,1,1
56,PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,1,2025-01-24,1,1,1
57,SAFe® Agilist Certification | Limited Offer: Enroll @ $545,5,2025-01-10,5,5,5
58,PMP® Certification Course | Ace PMP Exam in 1st Attempt,1,2025-01-15,1,1,1
59,TOGAF® Architect Certification | TOGAF® Free Exam Retake,9,2024-12-30,9,9,9
60,Simplilearn® Courses,11,2025-01-06,11,11,11
61,Simplilearn® Courses,11,2025-01-01,11,11,11
62,PMP® Certification Course | Ace PMP Exam in 1st Attempt,1,2025-01-23,1,1,1
63,Simplilearn® Official Site,10,2025-01-08,10,10,10
64,PMP® Exam & Certification,1,2025-01-22,1,1,1
65,Simplilearn® Official Site,11,2025-01-05,11,11,11
66,SAFe® Agilist Certification | Special Offer: Get $250 Off,5,2025-01-26,5,5,5
67,AWS Certified Cloud Practioner | Special Offer Get Flat 43% Off,4,2025-01-26,4,4,4
68,TOGAF® Architect Certification - TOGAF® Free Exam Retake,9,2025-01-20,9,9,9
69,PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,1,2025-01-13,1,1,1
70,TOGAF® Enterprise Architecture | Master TOGAF® Core Concepts,9,2025-01-25,9,9,9
71,Simplilearn Online Bootcamps | Online Certification Courses,11,2025-01-22,11,11,11
72,Simplilearn® Courses,11,2025-01-01,11,11,11
73,Simplilearn Courses,10,2025-01-13,10,10,10
74,Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,2,2025-01-06,2,2,2
75,TOGAF® 10 Certification Course | Master TOGAF® Core Concepts,9,2025-01-01,9,9,9
76,Simplilearn Online Bootcamps | Online Certification Courses,11,2025-01-22,11,11,11
77,Simplilearn® Courses | Online Certification Courses,11,2025-01-18,11,11,11
78,Simplilearn® Courses,11,2025-01-19,11,11,11
79,Become Certified Scrum Master | Flash Sale: Enroll @ $270,2,2025-01-10,2,2,2
80,Simplilearn® Official Site - Online Certification Courses,11,2025-01-15,11,11,11
81,PMP® Certification Course | Ace PMP Exam in 1st Attempt,1,2025-01-24,1,1,1
82,Simplilearn® Courses | Online Certification Courses,11,2024-12-31,11,11,11
83,PMP® Certification Course | Ace PMP Exam in 1st Attempt,11,2025-01-23,11,11,11
84,PMP® Training & Exam - Ace PMP Exam in 1st Attempt,1,2025-01-26,1,1,1
85,PMP® Certification Training | Ace PMP Exam in 1st Attempt,1,2025-01-13,1,1,1
86,ITIL Foundations Course | 100% Exam Pass Guarantee,8,2025-01-09,8,8,8
87,Simplilearn® Courses | Level Up Your Skills | Launch Your Career,11,2025-01-02,11,11,11
88,Simplilearn® Courses,10,2025-01-20,10,10,10
89,Cloud Architect Certificate - Become a Cloud Architect,11,2025-01-22,11,11,11
90,PMP® Certification Training | Flat 40% Off - Enroll Now,1,2025-01-18,1,1,1
91,CSPO® Certification Course | Limited Offer: Flat $279 Off,3,2024-12-31,3,3,3
92,Simplilearn® Official Site,10,2025-01-20,10,10,10
93,Simplilearn ITIL 4 Training - Online Certification Courses,10,2024-12-31,10,10,10
94,CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,2,2025-01-24,2,2,2
95,Simplilearn PMP® Course | Flat 40% Off - Enroll Now,11,2025-01-22,11,11,11
96,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2025-01-22,2,2,2
97,PMP® Certification Course,11,2025-01-21,11,11,11
98,Simplilearn Courses | Online Courses,10,2025-01-09,10,10,10
99,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2025-01-18,2,2,2
100,Product Owner (CSPO®) Course | Limited Offer: Flat $279 Off,2,2025-01-16,2,2,2
101,Master ITIL 4 Foundation - Clear ITIL Exam on 1st Attempt,8,2025-01-24,8,8,8
102,Simplilearn PMP® Course | Special Offer: Get $400 Off,11,2025-01-02,11,11,11
103,Simplilearn Online Bootcamps | Level Up Your Skills,11,2025-01-23,11,11,11
104,Simplilearn® Courses | Online Certification Courses,11,2025-01-26,11,11,11
105,Simplilearn Online Bootcamps | Online Certification Courses,11,2025-01-02,11,11,11
106,Simplilearn® Official Site | Online Certification Courses,11,2025-01-22,11,11,11
107,Master ITIL 4 Foundation - 100+ Premium Exam Questions,8,2024-12-31,8,8,8
108,AWS Certified Cloud Practioner | Today's offer- Flat $300 Off,4,2025-01-23,4,4,4
109,Simplilearn Online Bootcamps | Online Certification Courses,10,2025-01-17,10,10,10
110,PMP® Certification Course | Flat 40% Off - Enroll Now,1,2024-12-27,1,1,1
111,PMP® Certification | Flat 40% Off - Enroll Now,1,2024-12-27,1,1,1
112,CSM Scrum Master Course Online | Limited-time Offer: $270 Only,2,2025-01-25,2,2,2
113,PMP® Training & Exam | Confidently Ace The PMP Exam,1,2025-01-01,1,1,1
114,Simplilearn Online Bootcamps | Launch Your Career,11,2025-01-06,11,11,11
115,PMP® Exam & Certification - Confidently Ace The PMP Exam,1,2025-01-01,1,1,1
116,ITIL Certification Cost - 100% Exam Pass Guarantee,8,2025-01-26,8,8,8
117,Simplilearn® Courses,11,2025-01-21,11,11,11
118,CAPM® Exam Prep in 3 Weeks | Ace CAPM® Exam in 1st Attempt,11,2025-01-26,11,11,11
119,PMP® Certification Training | Flat 40% Off - Enroll Now,1,2025-01-05,1,1,1
120,ITIL Certification Now - 4 Mock Tests | 30+ Quizzes,8,2025-01-04,8,8,8
121,ITIL Certification Course | Clear ITIL Exam on 1st Attempt,8,2025-01-22,8,8,8
122,PMP® Certification Training - Ace PMP Exam in 1st Attempt,1,2025-01-24,1,1,1
123,Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,11,2025-01-21,11,11,11
124,PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,1,2025-01-12,1,1,1
125,Simplilearn® Courses | Online Certification Courses,11,2025-01-22,11,11,11
126,Simplilearn® ITIL Programs | Online Certification Courses,10,2025-01-23,10,10,10
127,ITIL Foundations Course | 100% Exam Pass Guarantee,8,2025-01-14,8,8,8
128,PMP® Certification | Ace PMP Exam in 1st Attempt,11,2025-01-13,11,11,11
129,TOGAF® Certification Price - TOGAF® Free Exam Retake,9,2025-01-21,9,9,9
130,Simplilearn Online Bootcamps - Online Certification Courses,11,2025-01-18,11,11,11
131,ITIL Certification Course | 100% Exam Pass Guarantee,8,2025-01-22,8,8,8
132,Become a Certified ScrumMaster | Today's Offer: Up To 51%...,2,2025-01-18,2,2,2
133,TOGAF® Enterprise Architecture | Enroll in TOGAF® Course Now,11,2025-01-06,11,11,11
134,Simplilearn ITIL 4 Training | Online Certification Courses,8,2025-01-05,8,8,8
135,Simplilearn® Official Site - Online Certification Courses,10,2025-01-15,10,10,10
136,Simplilearn® Training Programs | Get Certified. Get Ahead.,10,2025-01-13,10,10,10
137,ITIL Certification Course | Clear ITIL Exam on 1st Attempt,11,2025-01-10,11,11,11
138,Simplilearn Online Bootcamps | Trusted by 3 Million+ Learners,11,2025-01-21,11,11,11
139,Master ITIL 4 Foundation - Clear ITIL Exam on 1st Attempt,8,2025-01-09,8,8,8
140,PMP® Certification Course | Ace PMP Exam in 1st Attempt,1,2025-01-18,1,1,1
141,ITIL Foundations Course | 100% Exam Pass Guarantee,8,2025-01-09,8,8,8
142,PMI Certified PMP® Training | Flat 40% Off - Enroll Now,11,2024-12-28,11,11,11
143,Simplilearn® Courses | Online Certification Courses,10,2025-01-05,10,10,10
144,Become Certified Scrum Master | Today's Offer: Up To 51% Off,2,2024-12-28,2,2,2
145,Simplilearn ITIL V4 | Online Certification Courses,10,2025-01-05,10,10,10
146,CSM Scrum Master Course Online | Limited-time Offer: $270 Only,11,2025-01-12,11,11,11
147,Simplilearn Online Bootcamps | Online Certification Courses,10,2025-01-12,10,10,10
148,PMI Certified PMP® Training | Ace PMP Exam in 1st Attempt,1,2025-01-09,1,1,1
149,Simplilearn ITIL 4 Training - Level Up Your Skills,10,2024-12-31,10,10,10
150,Cloud Certification Course | Masters Certification in Cloud,11,2024-12-31,11,11,11
151,PMP® Certification Course | Flat 40% Off - Enroll Now,11,2024-12-29,11,11,11
152,Simplilearn Online Bootcamps | Online Certification Courses,10,2025-01-17,10,10,10
153,PMP® Exam & Certification | Confidently Ace The PMP Exam,11,2024-12-31,11,11,11
154,PMP® Certification | Confidently Ace The PMP Exam,1,2024-12-31,1,1,1
155,ITIL Certification Course | 100% Exam Pass Guarantee,8,2025-01-03,8,8,8
156,ITIL Foundations Course | 100% Exam Pass Guarantee,8,2024-12-31,8,8,8
157,No Cost & No Hidden Fees - AWS Certification Course,4,2025-01-26,4,4,4
158,PMP® Certification Course | Confidently Ace The PMP Exam,1,2025-01-01,1,1,1
159,CAPM® Certification Training | Ace CAPM® Exam in 1st...,11,2025-01-21,11,11,11
160,PMP® Course | Confidently Ace The PMP Exam,1,2024-12-31,1,1,1
161,ITIL Certification Course | 100% Exam Pass Guarantee,8,2025-01-21,8,8,8
162,Simplilearn® Courses | Online Certification Courses,10,2024-12-27,10,10,10
163,Simplilearn TOGAF - Online Certification Courses,10,2025-01-23,10,10,10
164,ITIL Foundations Course | 100% Exam Pass Guarantee,8,2024-12-31,8,8,8
165,PMP® Training Course | Confidently Ace The PMP Exam,11,2025-01-01,11,11,11
166,Project Management Training,11,2025-01-01,11,11,11
167,TOGAF® Enterprise Architecture | Enroll in TOGAF® Course Now,11,2025-01-22,11,11,11
168,TOGAF® 10 Certification Course | Enroll in TOGAF® Course Now,9,2025-01-03,9,9,9
169,AWS Solution Architect Course | Get AWS Associate Certificate,4,2025-01-05,4,4,4
170,CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,2,2025-01-24,2,2,2
171,Online AWS CPE Course | Special Offer Get Flat 43% Off,7,2024-12-31,7,7,7
172,CSM Scrum Master Course Online | Today's Offer: Up To 51% Off,2,2025-01-24,2,2,2
173,PMP® Exam & Certification | Flat 40% Off - Enroll Now,1,2025-01-06,1,1,1
174,Leading SAFe® 6 Certification | Special Offer: Get $250 Off,11,2025-01-22,11,11,11
175,PMP® Exam & Certification,1,2025-01-21,1,1,1
176,PMP® Exam & Certification | Flat 40% Off - Enroll Now,1,2025-01-21,1,1,1
177,PMP® Exam & Certification | Ace PMP Exam in 1st Attempt,1,2025-01-15,1,1,1
178,CSM Scrum Master Course Online - Today's Offer: Up To 51% Off,11,2024-12-31,11,11,11
179,SAFe® Agile Training & Exam | Special Offer: Get $250 Off,2,2025-01-26,2,2,2
180,PMP® Course | Confidently Ace The PMP Exam,1,2025-01-01,1,1,1
181,PMP® Certification Course,1,2025-01-13,1,1,1
182,PMP® Exam & Certification | Flat 40% Off - Enroll Now,1,2025-01-24,1,1,1
183,Master ITIL 4 Foundation | 100% Exam Pass Guarantee,8,2025-01-23,8,8,8
184,PMP® Certification Course | Flat 40% Off - Enroll Now,1,2024-12-27,1,1,1
185,Master ITIL 4 Foundation | 100% Exam Pass Guarantee,8,2024-12-28,8,8,8
186,Master ITIL 4 Foundation | 100% Exam Pass Guarantee,8,2024-12-28,8,8,8
187,ITIL Foundations Course | Clear ITIL Exam on 1st Attempt,8,2024-12-31,8,8,8
188,Simplilearn PMP® Course - Limited Offer: Get $400 Off,11,2025-01-02,11,11,11
189,Simplilearn® Courses | Online Certification Courses,11,2024-12-29,11,11,11
190,CSPO® Certification - Special Offer: Flat $279 Off,3,2024-12-31,3,3,3
191,Become CAPM® Ready in 3 Weeks | Ace CAPM® Exam in 1st...,11,2025-01-16,11,11,11
192,Become Certified Scrum Master | Limited-time Offer: $270 Only,2,2024-12-31,2,2,2
193,Simplilearn Online Bootcamps | Online Certification Courses,10,2025-01-05,10,10,10
194,PMP® Exam & Certification | Special Offer: Get $400 Off,1,2024-12-31,1,1,1
195,PMP® Exam & Certification - Flat 40% Off - Enroll Now,1,2024-12-31,1,1,1
196,Certified Scrum Product Owner® | Limited Offer: Flat $279 Off,2,2025-01-16,2,2,2
197,PMP® Certification Course,1,2025-01-22,1,1,1
198,TOGAF® Certification Exam Cost | TOGAF® Free Exam Retake,9,2025-01-13,9,9,9
199,Master ITIL 4 Foundation - 100% Exam Pass Guarantee,8,2025-01-23,8,8,8
